Id;Group;Species;PM name;Project;Playlist;Link;Observer;#Present;#Absent;Obs;Filters used;Verified T and G
44;Bird;Glaucidium hardyi;Glaucidium_hardyi_common song_RFCx2023;BDFFP Acoustics;All_nocturnal_RFCx;https://arbimon.rfcx.org/project/bdffp-acoustics/analysis/patternmatching/33912;Tomaz;649;1013;Some Tinamidae (Tinamus) as false positives;Score, 200 Top Scores per Site, Best per Site, Day;ok
45;Bird;Cyanoloxia rothschildii;Cyanoloxia_rothschildii_common song_RFCx2023;BDFFP Acoustics;All_diurnal_RFCx;https://arbimon.rfcx.org/project/bdffp-acoustics/analysis/patternmatching/33477;Gabriel;53;1266;;Score, 200 Top Scores per Site, Best per Site, Day;ok
46;Bird;Nyctibius griseus;Nyctibius_griseus_common song_RFCx2023;BDFFP Acoustics;All_nocturnal_RFCx;https://arbimon.rfcx.org/project/bdffp-acoustics/analysis/patternmatching/33478;Tomaz;348;3506;;Score, 200 Top Scores per Site, Best per Site, Day;ok
47;Bird;Trogon rufus;Trogon_rufus_common song_RFXc2023;BDFFP Acoustics;All_diurnal_RFCx;https://arbimon.rfcx.org/project/bdffp-acoustics/analysis/patternmatching/33485;Gabriel;35;1121;Only 2 sites;Score, 200 Top Scores per Site, Best per Site, Day;ok
48;Bird;Trogon violaceus;Trogon_violaceus2_common song_RFXc2023;BDFFP Acoustics;All_diurnal_RFCx;https://arbimon.rfcx.org/project/bdffp-acoustics/analysis/patternmatching/34061;Gabriel;309;1189;;Score, 200 Top Scores per Site, Best per Site, Day;ok
49;Bird;Momotus momota;Momotus_momota_common song_RFCx2023;BDFFP Acoustics;All_diurnal_RFCx;https://arbimon.rfcx.org/project/bdffp-acoustics/analysis/patternmatching/33496;Gabriel;634;1102;;Score, 200 Top Scores per Site, Best per Site, Day;ok
50;Bird;Selenidera piperivora;Selenidera_piperivora_common song_RFCx2023;BDFFP Acoustics;All_diurnal_RFCx;https://arbimon.rfcx.org/project/bdffp-acoustics/analysis/patternmatching/34062;Tomaz;23;1200;Not a good species;Score, 200 Top Scores per Site, Best per Site, Day;ok
51;Bird;Ramphastos vitellinus;Ramphastos_vitellinus_common song_RFCx2023;BDFFP Acoustics;All_diurnal_RFCx;https://arbimon.rfcx.org/project/bdffp-acoustics/analysis/patternmatching/33498;Tomaz;647;1231;;Score, 200 Top Scores per Site, Best per Site, Day;ok
52;Bird;Piculus chrysochloros;Piculus_chrysochloros_common song_RFCx2023;BDFFP Acoustics;All_diurnal_RFCx;https://arbimon.rfcx.org/project/bdffp-acoustics/analysis/patternmatching/33503;Gabriel;22;1189;uncommon species;Score, 200 Top Scores per Site, Best per Site, Day;ok
53;Bird;Celeus undatus;Celeus_undatus_common song_RFCx2023;BDFFP Acoustics;All_diurnal_RFCx;https://arbimon.rfcx.org/project/bdffp-acoustics/analysis/patternmatching/33504;Gabriel;102;1089;;Score, 200 Top Scores per Site, Best per Site, Day;ok
55;Bird;Galbula albirostris;Galbula_albirostris2_common song_RFCx2023;BDFFP Acoustics;All_diurnal_RFCx;https://arbimon.rfcx.org/project/bdffp-acoustics/analysis/patternmatching/33887;Gabriel;25;1057;;Score, 200 Top Scores per Site, Best per Site, Day;ok
56;Bird;Jacamerops aureus;Jacamerops_aureus_common song_RFCx2023;BDFFP Acoustics;All_diurnal_RFCx;https://arbimon.rfcx.org/project/bdffp-acoustics/analysis/patternmatching/33854;Gabriel;51;1140;;Score, 200 Top Scores per Site, Best per Site, Day;ok
57;Bird;Bucco tamatia;Bucco_tamatia2_common song_RFCx2023;BDFFP Acoustics;All_diurnal_RFCx;https://arbimon.rfcx.org/project/bdffp-acoustics/analysis/patternmatching/33919;Gabriel;80;488;;Score, 200 Top Scores per Site, Best per Site, Day;ok
58;Bird;Tyranneutes virescens;Tyranneutes_virescens_common song_RFCx2023;BDFFP Acoustics;All_diurnal_RFCx;https://arbimon.rfcx.org/project/bdffp-acoustics/analysis/patternmatching/33857;Gabriel;410;1200;;Score, 200 Top Scores per Site, Best per Site, Day;ok
59;Bird;Lepidothrix serena;Lepidothrix_serena_common song_RFCx2023;BDFFP Acoustics;All_diurnal_RFCx;https://arbimon.rfcx.org/project/bdffp-acoustics/analysis/patternmatching/33858;Tomaz;220;1584;;Score, 200 Top Scores per Site, Best per Site, Day;ok
60;Bird;Bucco capensis;Bucco_capensis_common song_RFCx2023;BDFFP Acoustics;All_diurnal_RFCx;https://arbimon.rfcx.org/project/bdffp-acoustics/analysis/patternmatching/33859;Gabriel;42;1239;Uncommon species;Score, 200 Top Scores per Site, Best per Site, Day;ok
61;Bird;Laniocera hypopyrra;Laniocera_hypopyrra_common song_RFCx2023;BDFFP Acoustics;All_diurnal_RFCx;https://arbimon.rfcx.org/project/bdffp-acoustics/analysis/patternmatching/33860;Gabriel;60;1151;only 1 site;Score, 200 Top Scores per Site, Best per Site, Day;ok
62;Bird;Phoenicircus carnifex;Phoenicircus_carnifex_common song_RFCx2023;BDFFP Acoustics;All_diurnal_RFCx;https://arbimon.rfcx.org/project/bdffp-acoustics/analysis/patternmatching/33876;Gabriel;126;1206;;Score, 200 Top Scores per Site, Best per Site, Day;ok
63;Bird;Myiopagis gaimardii;Myiopagis_gaimardii_common song_RFCx2023;BDFFP Acoustics;All_diurnal_RFCx;https://arbimon.rfcx.org/project/bdffp-acoustics/analysis/patternmatching/33877;Tomaz;60;1226;;Score, 200 Top Scores per Site, Best per Site, Day;ok
64;Bird;Corythopis torquatus;Corythopis_torquatus_common song_RFCx2023;BDFFP Acoustics;All_diurnal_RFCx;https://arbimon.rfcx.org/project/bdffp-acoustics/analysis/patternmatching/33878;Tomaz;215;3991;;Score, 200 Top Scores per Site, Best per Site, Day;ok
65;Bird;Lophotriccus vitiosus;Lophotriccus_vitiosus2_common song_RFCx2023;BDFFP Acoustics;All_diurnal_RFCx;https://arbimon.rfcx.org/project/bdffp-acoustics/analysis/patternmatching/33934;Tomaz;25;1112;;Score, 200 Top Scores per Site, Best per Site, Day;ok
66;Bird;Tolmomyias assimilis;Tolmomyias_assimilis_common song_RFCx2023;BDFFP Acoustics;All_diurnal_RFCx;https://arbimon.rfcx.org/project/bdffp-acoustics/analysis/patternmatching/33881;Gabriel;74;1265;;Score, 200 Top Scores per Site, Best per Site, Day;ok
67;Bird;Thamnophilus punctatus;Thamnophilus_punctatus2_common song_RFCx2023;BDFFP Acoustics;All_diurnal_RFCx;https://arbimon.rfcx.org/project/bdffp-acoustics/analysis/patternmatching/33940;Gabriel;144;1221;;Score, 200 Top Scores per Site, Best per Site, Day;ok
68;Bird;Gymnopithys rufigula;Gymnopithys_rufigula_common song_RFCx2023;BDFFP Acoustics;All_diurnal_RFCx;https://arbimon.rfcx.org/project/bdffp-acoustics/analysis/patternmatching/33888;Gabriel;23;1099;;Score, 200 Top Scores per Site, Best per Site, Day;ok
69;Bird;Schiffornis olivacea;Schiffornis_olivacea_common song_RFCx2023;BDFFP Acoustics;All_diurnal_RFCx;https://arbimon.rfcx.org/project/bdffp-acoustics/analysis/patternmatching/33896;Tomaz;10;1192;A rare species;Score, 200 Top Scores per Site, Best per Site, Day;ok
70;Bird;Lanio fulvus;Lanio_fulvus_common song_RFCx2023;BDFFP Acoustics;All_diurnal_RFCx;https://arbimon.rfcx.org/project/bdffp-acoustics/analysis/patternmatching/33897;Tomaz;172;1567;;Score, 200 Top Scores per Site, Best per Site, Day;ok
71;Bird;Saltator grossus;Saltator_grossus_common song_RFCx2023;BDFFP Acoustics;All_diurnal_RFCx;https://arbimon.rfcx.org/project/bdffp-acoustics/analysis/patternmatching/33898;Gabriel;38;1137;;Score, 200 Top Scores per Site, Best per Site, Day;ok
72;Bird;Tyrannulus elatus;Tyrannulus_elatus_common song_RFCx2023;BDFFP Acoustics;All_diurnal_RFCx;https://arbimon.rfcx.org/project/bdffp-acoustics/analysis/patternmatching/33907;Gabriel;33;1243;;Score, 200 Top Scores per Site, Best per Site, Day;ok
73;Bird;Hylopezus macularius;Hylopezus_macularius_common song_RFCx2023;BDFFP Acoustics;All_diurnal_RFCx;https://arbimon.rfcx.org/project/bdffp-acoustics/analysis/patternmatching/33918;Gabriel;320;1137;;Score, 200 Top Scores per Site, Best per Site, Day;ok
74;Bird;Hylexetastes perroti;Hylexetastes_perroti_common song_RFCx2023;BDFFP Acoustics;All_diurnal_RFCx;https://arbimon.rfcx.org/project/bdffp-acoustics/analysis/patternmatching/33920;Tomaz;29;1044;A rare species and woodcreepers have a very short period of vocal activity;Score, 200 Top Scores per Site, Best per Site, Day;ok
75;Bird;Campylorhamphus procurvoides;Campylorhamphus_procurvoides_common song_RFCx2023;BDFFP Acoustics;All_diurnal_RFCx;https://arbimon.rfcx.org/project/bdffp-acoustics/analysis/patternmatching/33968;Tomaz;16;1200;A rare species and woodcreepers have a very short period of vocal activity;Score, 200 Top Scores per Site, Best per Site, Day;ok
