,class,ap,roc_auc,false_positive_rate,precision,recall,f1,true_presence,predicted_presence,true_absence,predicted_absence
96,Willisornis_poecilinotus_common_song,0.9642508798391151,0.999806623156877,0.0007251631617113851,0.875,0.9333333333333333,0.9032258064516129,15,16,2758,2757
0,Amazona_autumnalis_common_song,0.7959134882211807,0.9993890585948347,0.0007220216606498195,0.8666666666666667,1.0,0.9285714285714286,13,15,2770,2768
67,Pionus_menstruus_simple_call,0.9746401851194877,0.9997523913780071,0.0014074595355383533,0.8666666666666667,0.9629629629629629,0.912280701754386,27,30,2842,2839
91,Tunchiornis_ochraceiceps_common_song,1.0,1.0,0.001091703056768559,0.85,1.0,0.9189189189189189,17,20,2748,2745
14,Cyanoloxia_rothschildii_common_song,0.986013986013986,0.9999344563151341,0.0007209805335255948,0.8461538461538461,1.0,0.9166666666666666,11,13,2774,2772
50,Myiopagis_gaimardii_common_song,0.9288991101491101,0.9997286541244573,0.000723589001447178,0.8461538461538461,0.9166666666666666,0.8799999999999999,12,13,2764,2763
92,Turdus_albicollis_simple_call,0.887531479839172,0.9990492967592204,0.0007270083605961468,0.8461538461538461,0.8461538461538461,0.8461538461538461,13,13,2751,2751
66,Pionus_fuscus_common_song,0.9976190476190476,0.9999818709209572,0.0014503263234227702,0.8333333333333334,1.0,0.9090909090909091,20,24,2758,2754
6,Bucco_tamatia_common_song,0.9638157894736842,0.9994747899159664,0.001145912910618793,0.8333333333333334,0.9375,0.8823529411764706,16,18,2618,2616
54,Myrmotherula_axillaris_common_song,0.9484126984126984,0.99987843423292,0.00036469730123997083,0.8333333333333334,0.8333333333333334,0.8333333333333334,6,6,2742,2742
88,Trogon_rufus_common_song,0.936734693877551,0.999791829300026,0.00036429872495446266,0.8333333333333334,0.7142857142857143,0.7692307692307692,7,6,2745,2746
72,Ramphastos_tucanus_common_song,0.9262702206656982,0.9968876579539554,0.007339449541284404,0.8275862068965517,0.9056603773584906,0.8648648648648648,106,116,2725,2715
34,Jacamerops_aureus_common_song,0.8282424242424242,0.9904062458647611,0.000727802037845706,0.8181818181818182,0.8181818181818182,0.8181818181818182,11,11,2748,2748
44,Micrastur_semitorquatus_common_song,0.9568381407586806,0.9995877334855549,0.0018234865061998542,0.8148148148148148,0.9565217391304348,0.8800000000000001,23,27,2742,2738
77,Saltator_grossus_common_song,0.9861111111111112,0.9999545123726347,0.000727802037845706,0.8,1.0,0.888888888888889,8,10,2748,2746
26,Galbula_albirostris_common_song,0.8588235294117648,0.9991215226939971,0.00036603221083455345,0.8,0.8,0.8000000000000002,5,5,2732,2732
29,Gymnopithys_rufigula_common_song,0.8285714285714285,0.9978102189781022,0.000364963503649635,0.8,0.8,0.8000000000000002,5,5,2740,2740
42,Micrastur_gilvicollis_common_song,0.9330711171544147,0.9988872832369943,0.002167630057803468,0.7931034482758621,0.92,0.851851851851852,25,29,2768,2764
80,Sirystes_subcanescens_common_song,0.9536042240587697,0.9998354288723587,0.0010861694424330196,0.7857142857142857,1.0,0.88,11,14,2762,2759
70,Pithys_albifrons_common_song,0.8888021687774788,0.9920778750064724,0.0010873504893077202,0.7857142857142857,0.7857142857142857,0.7857142857142857,14,14,2759,2759
73,Ramphastos_vitellinus_common_song,0.8106516957125907,0.985821912095855,0.010119262739428984,0.776,0.7461538461538462,0.7607843137254902,130,125,2767,2772
65,Piculus_chrysochloros_common_song,0.835,0.9996374184191442,0.00036258158085569254,0.75,0.6,0.6666666666666665,5,4,2758,2759
93,Tyranneutes_virescens_common_song,0.7285776510209253,0.9930098974902792,0.010507246376811594,0.7070707070707071,0.8536585365853658,0.7734806629834253,82,99,2760,2743
45,Microbates_collaris_common_song,0.9572096670836165,0.9997921322039184,0.0021826118588577663,0.7,1.0,0.8235294117647058,14,20,2749,2743
64,Phoenicircus_carnifex_common_song,0.8119456397835769,0.9904716797147075,0.004346251358203549,0.6470588235294118,0.8461538461538461,0.7333333333333334,26,34,2761,2753
12,Crypturellus_soui_common_song,0.8925025657645979,0.9994092550049228,0.0018050541516245488,0.6428571428571429,0.8181818181818182,0.7200000000000001,11,14,2770,2767
21,Deroptyus_accipitrinus_common_song,0.875,0.9996341017197219,0.0007317965605561653,0.6,0.75,0.6666666666666665,4,5,2733,2732
4,Brotogeris_chrysoptera_common_song,0.6872069597069597,0.9974293059125964,0.0022034520749173708,0.5384615384615384,0.7,0.608695652173913,10,13,2723,2720
78,Schiffornis_olivacea_common_song,1.0,1.0,0.0007249003262051468,0.5,1.0,0.6666666666666666,2,4,2759,2757
10,Conopias_parvus_common_song,0.3910931174089069,0.9965467102871682,0.0003635041802980734,0.5,0.25,0.3333333333333333,4,2,2751,2753
